title,released_at,lyricists/0/name,composers/0/name,composers/1/name,arrangers/0/name,arrangers/1/name
君のこころは輝いてるかい？,2015-10-07,畑亜貴,光増ハジメ,,EFFY,
Step! ZERO to ONE,2015-10-07,畑亜貴,高田暁,,高田暁,
Aqours☆HEROES,2015-10-07,畑亜貴,渡辺和紀,,渡辺和紀,
恋になりたいAQUARIUM,2016-04-27,畑亜貴,佐々倉有吾,,渡辺和紀,
待ってて愛のうた,2016-04-27,畑亜貴,山口朗彦,,山口朗彦,
届かない星だとしても,2016-04-27,畑亜貴,宮崎誠,,宮崎誠,
元気全開DAY!DAY!DAY!,2016-05-11,畑亜貴,高田暁,,高田暁,
夜空はなんでも知ってるの？,2016-05-11,畑亜貴,Kon-K,,Kon-K,
トリコリコPLEASE!!,2016-05-25,畑亜貴,宮崎誠,,宮崎誠,
ときめき分類学,2016-05-25,畑亜貴,金崎真士,,金崎真士,
Strawberry Trapper,2016-06-08,畑亜貴,金崎真士,,金崎真士,
"Guilty Night, Guilty Kiss!",2016-06-08,畑亜貴,R・O・N,,R・O・N,
青空Jumping Heart,2016-07-20,畑亜貴,伊藤賢,光増ハジメ,EFFY,
ハミングフレンド,2016-07-20,畑亜貴,桑原聖(Arte Refact),,酒井拓也(Arte Refact),
決めたよHand in Hand,2016-08-03,畑亜貴,渡辺拓也,,渡辺拓也,
ダイスキだったらダイジョウブ！,2016-08-03,畑亜貴,高田暁,,高田暁,
ユメ語るよりユメ歌おう,2016-08-24,畑亜貴,山口朗彦,,山口朗彦,
サンシャインぴっかぴか音頭,2016-08-24,畑亜貴,伊藤真澄,,EFFY,
夢で夜空を照らしたい,2016-09-14,畑亜貴,光増ハジメ,,EFFY,
未熟DREAMER,2016-09-14,畑亜貴,渡辺和紀,,渡辺和紀,
Pops heartで踊るんだもん！,2016-09-27,畑亜貴,高田暁,,高田暁,
空も心も晴れるから,2016-10-26,畑亜貴,原田篤(Arte Refact),,脇眞富(Arte Refact),
想いよひとつになれ,2016-11-09,畑亜貴,佐伯高志,,佐伯高志,
MIRAI TICKET,2016-11-09,畑亜貴,EFFY,,EFFY,
ジングルベルがとまらない,2016-11-23,畑亜貴,光増ハジメ,,EFFY,
聖なる日の祈り,2016-11-23,畑亜貴,田中俊亮,,田中俊亮,伊藤賢
Waku-Waku-Week!,2016-11-25,畑亜貴,ラムシーニ,内田陽吾,小高光太郎,ラムシーニ
SELF CONTROL!!,2016-11-30,畑亜貴,河田貴央,,河田貴央,
Daydream Warrior,2016-12-22,畑亜貴,前口渉,,中土智博,
G線上のシンデレラ,2017-01-27,畑亜貴,石倉誉之,,ラムシーニ,石倉誉之
スリリング・ワンウェイ,2017-02-24,畑亜貴,藤井亮太,小高光太郎,藤井亮太,小高光太郎
P.S.の向こう側,2017-03-24,畑亜貴,岡本健介,,渡辺和紀,
LONELY TUNING,2017-03-24,畑亜貴,Kon-K,,Kon-K,
Guilty Eyes Fever,2017-03-24,畑亜貴,本多友紀(Arte Refact),,酒井拓也(Arte Refact),
太陽を追いかけろ！,2017-03-24,畑亜貴,松田彬人,,松田彬人,
HAPPY PARTY TRAIN,2017-04-05,畑亜貴,渡辺拓也,,EFFY,
SKY JOURNEY,2017-04-05,畑亜貴,早川博隆,,早川博隆,
少女以上の恋がしたい,2017-04-05,畑亜貴,TAKAROT,KOUDAI IWATSUBO,TAKAROT,Shinji Tanaka
近未来ハッピーエンド,2017-05-10,畑亜貴,藤井亮太,,藤井亮太,
海岸通りで待ってるよ,2017-05-10,畑亜貴,渡辺未来,,渡辺未来,
GALAXY HidE and SeeK,2017-05-31,畑亜貴,竹市佳伸,,竹市佳伸,
INNOCENT BIRD,2017-05-31,畑亜貴,江並哲志,,倉内達矢,
コワレヤスキ,2017-06-21,畑亜貴,佐伯高志,,佐伯高志,
Shadow gate to love,2017-06-21,畑亜貴,渡辺和紀,,渡辺和紀,
Landing action Yeah!!,2017-06-30,畑亜貴,光増ハジメ,,TAKAROT,
夏への扉 Never end ver.,2017-08-02,畑亜貴,金崎真士,,金崎真士,
真夏は誰のモノ？,2017-08-02,畑亜貴,原田篤(Arte Refact),,原田篤(Arte Refact),
地元愛♡満タン☆サマーライフ,2017-08-02,畑亜貴,石倉誉之,,石倉誉之,
夏の終わりの雨音が,2017-08-02,畑亜貴,片桐周太郎,,江上浩太郎,
未来の僕らは知ってるよ,2017-10-25,畑亜貴,光増ハジメ,,EFFY,
君の瞳を巡る冒険,2017-10-25,畑亜貴,渡辺和紀,,渡辺和紀,
勇気はどこに？君の胸に！,2017-11-15,畑亜貴,小高光太郎,UiNA,小高光太郎,
“MY LIST” to you!,2017-11-15,畑亜貴,原知也,,ラムシーニ,
MY舞☆TONIGHT,2017-11-29,畑亜貴,EFFY,,EFFY,
MIRACLE WAVE,2017-11-29,畑亜貴,酒井拓也(Arte Refact),,脇眞富(Arte Refact),
Awaken the power,2017-12-20,畑亜貴,河田貴央,,河田貴央,
CRASH MIND,2017-12-20,畑亜貴,宮崎誠,,宮崎誠,
DROPOUT!?,2017-12-20,畑亜貴,馬渕直純,,馬渕直純,
One More Sunshine Story,2017-12-22,畑亜貴,EFFY(FirstCall),,EFFY(FirstCall),
WATER BLUE NEW WORLD,2018-01-17,畑亜貴,佐伯高志,,佐伯高志,倉内達矢(ストリングスアレンジ)
WONDERFUL STORIES,2018-01-18,畑亜貴,Carlos K.,,EFFY,
おやすみなさん！,2018-01-26,畑亜貴,白須賀悟,増田基生,白須賀悟,増田基生
in this unstable world,2018-02-23,畑亜貴,神谷礼,,神谷礼,
Pianoforte Monologue,2018-02-23,畑亜貴,青木宏憲,廣澤優也,青木宏憲,廣澤優也
Beginner’s Sailing,2018-03-23,畑亜貴,酒井拓也(Arte Refact),,酒井拓也(Arte Refact),
RED GEM WINK,2018-04-24,畑亜貴,高田暁,,高田暁,
WHITE FIRST LOVE,2018-04-24,畑亜貴,渡辺拓也,,渡辺拓也,
New winding road,2018-05-25,畑亜貴,宮崎誠,,宮崎誠,
さかなかなんだか？,2018-05-25,畑亜貴,設楽哲也,,設楽哲也,